Hash,vendorPartNo,imageName,TRSku,PUSku,category,model,description,unitPrice,TRQty,PUQty,ImageURL
50100-245-02,50100-245-02,50100-245-2,954709,854709,GOGGLES,RACECRAFT,RC MONOBLOCK BLU BLU CLR,42.25,0,233,https://3366283.app.netsuite.com/core/media/media.nl?id=104167&c=3366283&h=efad45b6742825bd7658
50100-246-02,50100-246-02,50100-246-2,954710,854710,GOGGLES,RACECRAFT,RC ERGONO BLK SIL CLR,42.25,0,175,https://3366283.app.netsuite.com/core/media/media.nl?id=104168&c=3366283&h=16c55fbaedb5570b5d36
50100-247-02,50100-247-02,50100-247-2,954711,854711,GOGGLES,RACECRAFT,RC GP21 WHT GLD CLR,42.25,0,27,https://3366283.app.netsuite.com/core/media/media.nl?id=104169&c=3366283&h=b00e0b1d40ce823113c6
50100-248-02,50100-248-02,50100-248-2,954712,854712,GOGGLES,RACECRAFT,RC FLOYD PNK PNK CLR,42.25,0,654,https://3366283.app.netsuite.com/core/media/media.nl?id=104170&c=3366283&h=d0d049b559f1e67f1eab
50100-268-02,50100-268-02,50100-268-2,955174,855174,GOGGLES,RACECRAFT,RACECRAFT BILAL NVY CLR LENS,42.25,0,545,https://3366283.app.netsuite.com/core/media/media.nl?id=104171&c=3366283&h=7ca4516fe900e2b082a7
50100-271-02,50100-271-02,50100-271-2,955177,855177,GOGGLES,RACECRAFT,RACECRAFT DREAMFLOW CLR LENS,42.25,0,284,https://3366283.app.netsuite.com/core/media/media.nl?id=104174&c=3366283&h=d4b268364f64f1073ac9
50100-313-02,50100-313-02,50100-313-2,955552,855552,GOGGLES,RACECRAFT,RACECRAFT LTD CLR LENS,42.25,0,203,https://3366283.app.netsuite.com/core/media/media.nl?id=104180&c=3366283&h=3247e7b99b79fea7ce80
50100-314-02,50100-314-02,50100-314-2,955553,855553,GOGGLES,RACECRAFT,RACECRAFT KURIAKIN CLR LENS,42.25,0,496,https://3366283.app.netsuite.com/core/media/media.nl?id=104181&c=3366283&h=f32a5a56f930b0bd7199
50100-315-02,50100-315-02,50100-315-2,955554,855554,GOGGLES,RACECRAFT,RACECRAFT ANDRE CLR LENS,42.25,31,23,https://3366283.app.netsuite.com/core/media/media.nl?id=104182&c=3366283&h=387e02d234191178f8fb
50100-316-02,50100-316-02,50100-316-2,955555,855555,GOGGLES,RACECRAFT,RACECRAFT ALTA CLR LENS,42.25,0,107,https://3366283.app.netsuite.com/core/media/media.nl?id=104183&c=3366283&h=eb0050c21e05c759a877
50100-317-02,50100-317-02,50100-317-2,955556,855556,GOGGLES,RACECRAFT,RACECRAFT KLEPTO CLR LENS,42.25,136,99,https://3366283.app.netsuite.com/core/media/media.nl?id=104184&c=3366283&h=af80aca22b50baabaf06
50100-332-02,50100-332-02,50100-332-2,955819,855819,GOGGLES,RACECRAFT,RACECRAFT BAKKEN CLR LENS,42.25,0,216,https://3366283.app.netsuite.com/core/media/media.nl?id=128442&c=3366283&h=b5d72d5e151ff0633440
